temp,dew,humidity,precip,windgust,windspeed,sealevelpressure,conditions
27.5,20.7,67,0,33.5,22.3,1010.1,Partially cloudy
27.5,20.4,65.7,0,38.9,19.8,1009.9,Clear
27.6,21.3,69.2,0,37.1,20.5,1009.6,Partially cloudy
27.8,23.1,76.4,0,38.9,21.1,1010.1,Clear
28.1,23.9,78.5,0,32,23.5,1010,Clear
29.3,21.4,64.3,0,41.8,18.4,1009.7,Partially cloudy
30.5,19.7,53.6,0,44.6,22.3,1010.1,Partially cloudy
30.9,21.3,57.5,0,26.3,17.8,1011.6,Partially cloudy
31.1,21.1,56.3,0,30.2,21.1,1012.1,Partially cloudy
31.2,22.4,61.1,0,36.7,21.1,1010.6,Partially cloudy
30.9,22.8,63.2,0,41,21.7,1010.8,Partially cloudy
32.1,20.3,51.5,0,49,20.5,1010.4,"Sunny, Partially cloudy"
31.4,21.7,57.1,15,57.6,38.9,1010,"Rain, Partially cloudy"
30.9,22.7,62.9,0,47.9,24.1,1010,Partially cloudy
30.2,21.7,61.4,0,33.1,20.5,1010,Partially cloudy
30.3,21.5,61,0,41,20.9,1008.8,Partially cloudy
29.9,23.8,70.6,0,36.4,17.8,1008.7,Partially cloudy
31.8,20.8,54.2,0,49.3,33.8,1009.1,"Sunny, Partially cloudy"
33.2,20.3,49.3,0,53.3,20.5,1006.8,Clear
31.4,21.5,56.5,0,42.5,26,1005.5,Partially cloudy
29.2,23.1,70.1,0,33.5,24.2,1006.4,Clear
28.8,23.3,72.4,0,35.3,18.4,1007.1,Partially cloudy
28.7,23.1,71.8,0,37.1,24.1,1007.2,Partially cloudy
29,24.8,78.5,0,37.1,18.4,1007.4,Partially cloudy
29.7,25.5,79.1,0,35.3,18.7,1007.5,Partially cloudy
29.5,23.6,71.3,0,40.7,23,1008.1,Partially cloudy
29.5,23.1,68.8,0,33.5,23,1008.2,Partially cloudy
29.4,23,68.8,0,35.3,24.8,1009,Partially cloudy
29.5,22.2,65.5,0.2,23.4,23,1008.5,"Rain, Partially cloudy"
29.3,22.9,68.9,0,25.6,20.5,1007,Partially cloudy
29.4,21.7,64.1,0,22,18.4,1007,Partially cloudy
29.5,22.2,65.8,0,31.7,20.5,1007.5,Partially cloudy
29.7,22.5,65.8,0,37.1,20.5,1009,Partially cloudy
29.5,23.1,69.1,0,37.1,20.5,1008.3,Partially cloudy
29.7,23.5,69.9,0,33.5,20.5,1007.7,Partially cloudy
29.9,23.5,69.2,0,37.1,21.7,1007.7,Partially cloudy
30,24.2,71.5,0,31.7,19.3,1007.8,Partially cloudy
30.3,25.1,74.5,0,37.1,19.3,1007.1,Partially cloudy
30.5,25.1,73.7,0,33.5,18.1,1007.5,Partially cloudy
30.7,26.4,78.4,0,35.6,22.3,1006.5,Partially cloudy
31.1,27,79.2,0,33.5,20.5,1006.8,"Sunny, Partially cloudy"
31,26.7,78.6,0,38.9,22.3,1007.5,Partially cloudy
31,26.4,76.9,0,31.7,19.9,1008.4,Partially cloudy
30.7,25.5,73.8,0,23.4,18.4,1007.9,Partially cloudy
31.1,25.7,73.2,0,19.1,20.5,1008.6,Partially cloudy
31.4,25.3,70.6,0,31.7,22.3,1010.1,"Sunny, Partially cloudy"
31.1,25.1,70.8,0,33.5,19.9,1010.2,Partially cloudy
30.7,25.2,72.8,0,37.1,19.8,1011.3,Partially cloudy
30.7,25.5,74,0,37.1,18.9,1009.8,Partially cloudy
30.7,24.9,71.7,0,31.7,21.8,1009.2,Partially cloudy
30.6,24.5,70.3,0,31.7,24.1,1009.8,Partially cloudy
30.5,24.7,71.5,0,24.8,21.8,1010.4,Partially cloudy
30.8,25.1,72.2,0,38.9,23.5,1010.5,Partially cloudy
